"LABNR","C14AGE","C14STD","C13","METHOD","MATERIAL","COUNTRY","SITE","FEATURE","FEATURE_DESC","DEPTH","LAT","LONG","PHASE","LITHICS","POTTERY","IRON","FRUIT","ZOO","CLASS","REMARK","SOURCE"
"Bdy-306",1990,210,"","","-","CAF","Batalimo","Z III","Layer","",3.676,18.455,"","-","Batalimo-Maluba","-","-","","Ia","","Kote 1992: 118 Tab. 10; Gotilogué 2000: 256; Zangato 2000; Lupo et al. 2018: 14 Tab. 3"
"Beta-428090",230,30,"-29.5","AMS","Uapaca","COD","Iyonda","IYO 15/48/1-13","Furnace","0.72",-0.035,18.186,"LIA","-","Botendo","slag","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-428091",120,30,"-28.1","AMS","Uapaca","COD","Iyonda","IYO 15/48/2-4","Furnace","1.08",-0.035,18.186,"LIA","-","Botendo","slag","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-441457",2040,30,"-25.4","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/2/4-57","Pit","0.65",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-441458",2110,30,"-24.0","AMS","Lophira","COD","Iyonda","IYO 15/2/4-197","Pit","0.71",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-447441",410,30,"-25.6","AMS","Charcoal_endocarp_elaeis","COD","Bolondo","BLD 16/5-72","Layer","0.1125",-0.306,21.253,"LIA","-","Wema; Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-447441",410,30,"-25.6","AMS","Charcoal_endocarp_elaeis","COD","Bolondo","BLD 16/5-72","Layer","0.1125",-0.306,21.253,"LIA","-","Wema; Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-447442",520,30,"-24.5","AMS","Charcoal_endocarp_elaeis","COD","Bolondo","BLD 16/5-76","Layer","0.139",-0.306,21.253,"LIA","-","Wema","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-469857",420,30,"-9.4","AMS","Cenchrus americanus","COD","Bolondo","BLD 16/1-38","Layer","0.515",-0.306,21.253,"LIA","-","Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-469858",480,30,"-9.1","AMS","Cenchrus americanus","COD","Bolondo","BLD 16/1-39","Layer","0.59",-0.306,21.253,"LIA","-","Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Erl-17763",2201,52,"-9.2","","Charcoal_seed_Pennisetum glaucum","COD","Boso-Njafo","BSN 85/1","-","",1.131,19.21,"","-","Imbonga","-","-","","Ia","","Kahlheber et al. 2014: 500 Tab. 4"
"Gif-5894",1590,90,"","","Charcoal","CAF","Batalimo","ZII","Layer","-",3.676,18.455,"","-","Batalimo-Maluba","-","-","","Ia","","de Maret 1985a; Eggert 1992: 11 Tab. 2; Eggert 1993"
"GrN-13076",1450,45,"","","Charcoal","COD","Isaka-Elinga","ISK 83/104","-","",-0.667,20.202,"","-","Lingonda","-","-","","Ia","","Eggert 1987: 133 Tab. 1; Wotzka 1995: 115"
"GrN-13078",660,80,"","","Charcoal","COD","Bolondo","BLD 83/1","-","",-0.306,21.253,"","-","Bondongo; Wema","-","-","","Ia","","Wotzka 1995: 138, 171-172; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1"
"GrN-13078",660,80,"","","Charcoal","COD","Bolondo","BLD 83/1","-","",-0.306,21.253,"","-","Bondongo; Wema","-","-","","Ia","","Wotzka 1995: 138, 171-172; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1"
"GrN-13583",2290,70,"","","Charcoal","COD","Bokele","BKE 81/1","-","",-0.099,18.592,"","-","Imbonga","-","-","","Ia","","Eggert 1987: 133 Tab. 1; Eggert 1992: 10 Tab. 1; Eggert 1993; Wotzka 1995: 66-67; Seidensticker 2017: Tab. 21"
"GrN-13584",1670,110,"","","Charcoal","COD","Maluba","MLB 85/1-3-1","Pit","0.975",2.806,18.524,"","-","Batalimo-Maluba","-","Eg","","Ia","","Eggert 1992: 11 Tab. 2; Eggert 1993; Seidensticker 2017"
"GrN-13585",1990,60,"","","Charcoal","COD","Maluba","MLB 85/1-3-2","Pit","0.925",2.806,18.524,"","-","Batalimo-Maluba","-","Eg","","Ia","","Eggert 1992: 11 Tab. 2; Eggert 1993; Seidensticker 2017"
"GrN-14002",710,60,"","","Charcoal","COD","Baringa","BAR 85/1","-","",0.729,20.736,"","-","Bondongo","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"GrN-14003",2090,70,"","","Charcoal","COD","Bokuma","BOK 83/2","-","",-0.114,18.698,"","-","Inganda","-","-","","Ia","","Eggert 1992: 10 Tab. 1; Wotzka 1995: 84; Seidensticker 2017: Tab. 21"
"GrN-14004",1670,70,"","","Charcoal","COD","Bokuma","BOK 83/3","-","",-0.114,18.698,"","-","Bokuma; Lingonda","-","-","","Ia","","Wotzka 1995: 115; Seidensticker 2017: Tab. 21"
"GrN-14004",1670,70,"","","Charcoal","COD","Bokuma","BOK 83/3","-","",-0.114,18.698,"","-","Bokuma; Lingonda","-","-","","Ia","","Wotzka 1995: 115; Seidensticker 2017: Tab. 21"
"GrN-14005",2440,150,"","","Charcoal","COD","Boso-Njafo","BSN 85/1","-","",1.131,19.21,"","-","Imbonga","-","Pg","","Ia","","Eggert 1992: 10 Tab. 1; Wotzka 1995: 66-67; Kahlheber et al. 2014: 500 Tab. 4; Seidensticker 2017: Tab. 21"
"GrN-14006",2260,80,"","","Charcoal","COD","Boso-Njafo","BSN 85/3","-","",1.131,19.21,"","-","Imbonga","-","-","","Ia","","Eggert 1992: 10 Tab. 1; Wotzka 1995: 66-67; Seidensticker 2017: Tab. 21"
"Hv-11572",755,115,"","","Charcoal","COD","Bokele","BKE 81/4","-","",-0.099,18.592,"","-","(Lingonda); Longa; (Bokele); Mbandaka","-","-","","Ia","","Wotzka 1995: 115, 127 Tab. 53; Seidensticker 2017: Tab. 21"
"Hv-11572",755,115,"","","Charcoal","COD","Bokele","BKE 81/4","-","",-0.099,18.592,"","-","(Lingonda); Longa; (Bokele); Mbandaka","-","-","","Ia","","Wotzka 1995: 115, 127 Tab. 53; Seidensticker 2017: Tab. 21"
"Hv-11577",1785,125,"","","Charcoal","COD","Iyonda","IYO 81/2","Pit","-",-0.035,18.186,"","-","Monkoto; Bokuma; (Bondongo); (Nkile); (Botendo)","-","-","","Ia","layer is heavily mixed","Wotzka 1995: 303; Seidensticker 2017: Tab. 21"
"Hv-11577",1785,125,"","","Charcoal","COD","Iyonda","IYO 81/2","Pit","-",-0.035,18.186,"","-","Monkoto; Bokuma; (Bondongo); (Nkile); (Botendo)","-","-","","Ia","layer is heavily mixed","Wotzka 1995: 303; Seidensticker 2017: Tab. 21"
"Hv-12206",810,90,"","","Charcoal","COD","Mbandaka","MBA 81/2","-","",0.06,18.256,"","-","Bondongo; Mbandaka","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"Hv-12206",810,90,"","","Charcoal","COD","Mbandaka","MBA 81/2","-","",0.06,18.256,"","-","Bondongo; Mbandaka","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"Hv-12613",1920,90,"","","Charcoal","COD","Wafanya","WAF 83/16-8","Layer","",-1.355,20.379,"","-","Monkoto; (Longa)","-","-","","Ia","","Wotzka 1995: 99, 127 Tab. 53, 368; Seidensticker 2017: Tab. 21"
"Hv-12620",945,75,"","","Charcoal","COD","Bamanya","BAM 83/1","Furnace","-",0.008,18.313,"","-","Bondongo","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"Hv-8916",625,50,"","","Charcoal","COD","Nkile","NKI 1","-","",-0.104,18.675,"","-","Nkile; Bondongo","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"Hv-8916",625,50,"","","Charcoal","COD","Nkile","NKI 1","-","",-0.104,18.675,"","-","Nkile; Bondongo","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"Hv-9561",145,55,"","","Charcoal","COD","Nkile","NKI 2","-","",-0.104,18.675,"","-","Botendo","-","-","","Ia","","Wotzka 1995: 158; Seidensticker 2017: Tab. 21"
"KI-2361",640,70,"-25.3","","Charcoal","COD","Bamanya","BAM 83/1","Furnace","0.515",0.008,18.313,"","-","Bondongo","","slag","-","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"KI-2363",2260,60,"-26.4","","Charcoal","COD","Bokuma","BOK 83/1","-","",-0.114,18.698,"","-","Imbonga","-","","-","Ia","","Eggert 1987: 133 Tab. 1; Eggert 1992: 10 Tab. 1; Wotzka 1995: 66-67; Seidensticker 2017: Tab. 21"
"KI-2364",740,55,"-28","","Charcoal","COD","Mbandaka","MBA 81/2","-","",0.06,18.256,"","-","Bondongo; Mbandaka","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"KI-2364",740,55,"-28","","Charcoal","COD","Mbandaka","MBA 81/2","-","",0.06,18.256,"","-","Bondongo; Mbandaka","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"KI-2365.01",280,70,"-25.9","","Charcoal","COD","Wafanya","WAF 83/16-5","Layer","",-1.355,20.379,"","-","(Monkoto); (Longa); (Bekongo); Wafanya; Botendo","-","","-","Ia","","Wotzka 1995: 368; Seidensticker 2017: Tab. 21"
"KI-2365.01",280,70,"-25.9","","Charcoal","COD","Wafanya","WAF 83/16-5","Layer","",-1.355,20.379,"","-","(Monkoto); (Longa); (Bekongo); Wafanya; Botendo","-","","-","Ia","","Wotzka 1995: 368; Seidensticker 2017: Tab. 21"
"KI-2428",2160,90,"-27.5","","Charcoal","COD","Imbonga","IMB 81/9","-","",-0.822,19.788,"","-","Imbonga","-","Eg","","Ia","","Eggert 1992: 10 Tab. 1; Wotzka 1995: 66-67; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1"
"KI-2430",650,65,"-26.6","","Charcoal","COD","Baringa","BAR 85/1","-","",0.729,20.736,"","-","Bondongo","-","","-","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"KI-2431",950,70,"-26.8","","Charcoal","COD","Baringa","BAR 85/1","-","",0.729,20.736,"","-","Bondongo","-","","-","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"KI-2432",2020,100,"-27.1","","Charcoal","COD","Bokuma","BOK 83/2","-","",-0.114,18.698,"","-","Inganda","-","","-","Ia","","Eggert 1992: 10 Tab. 1; Wotzka 1995: 84; Seidensticker 2017: Tab. 21"
"KI-2433",2025,75,"-25.5","","Charcoal","COD","Bokuma","BOK 83/2","-","",-0.114,18.698,"","-","Inganda","-","","-","Ia","","Eggert 1992: 10 Tab. 1; Wotzka 1995: 84; Seidensticker 2017: Tab. 21"
"KI-2439",2270,70,"-","","Charcoal","COD","Boso-Njafo","BSN 85/3","-","",1.131,19.21,"","-","Imbonga","-","-","","Ia","","Eggert 1987: 133 Tab. 1; Eggert 1992: 10 Tab. 1; Wotzka 1995: 66-67; Seidensticker 2017: Tab. 21"
"KI-2444",1930,120,"-27.3","","Charcoal","COD","Maluba","MLB 85/1-3-1","Pit","1.295",2.806,18.524,"","-","Batalimo-Maluba","","Eg","","Ia","","Eggert 1992: 11 Tab. 2; Eggert 1993; Seidensticker 2017"
"KI-2445",2140,200,"-27.3","","Charcoal","COD","Maluba","MLB 85/1-3-2","Pit","0.725",2.806,18.524,"","-","Batalimo-Maluba","","Eg","","Ia","","Eggert 1992: 11 Tab. 2; Eggert 1993; Seidensticker 2017"
"KI-2876",1980,41,"-25.5","","Charcoal","COG","Munda","MUN 87/2-1-3","Pit","0.1",1.163,17.357,"","-","Pikunda-Munda","","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2877",1980,100,"-26.9","","Charcoal","COG","Pikunda","PIK 87/1","Pit","1.47",0.55,16.636,"","-","Pikunda-Munda; Lusako","","-","-","Ia","","Eggert 1992: 16 Tab. 3; Wotzka 1995; Seidensticker 2017"
"KI-2877",1980,100,"-26.9","","Charcoal","COG","Pikunda","PIK 87/1","Pit","1.47",0.55,16.636,"","-","Pikunda-Munda; Lusako","","-","-","Ia","","Eggert 1992: 16 Tab. 3; Wotzka 1995; Seidensticker 2017"
"KI-2881",1990,45,"-25.1","","Charcoal_endocarp_elaeis","COG","Munda","MUN 87/2-1-1","Pit","0.6",1.163,17.357,"","-","Pikunda-Munda","","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2884",250,40,"","","Charcoal","COG","Munda","MUN 87/1-0-2","Pit","0.55",1.163,17.357,"","-","Ebambe","slag","","-","Ia","","Seidensticker 2017"
"KI-2885",1800,90,"-27.3","","Charcoal","COG","Munda","MUN 87/2-1-1","Pit; Furnace","0.29",1.163,17.357,"","-","Pikunda-Munda","object; slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2886",1910,80,"-26.1","","Charcoal","COG","Munda","MUN 87/2-1-1","Pit","0.65",1.163,17.357,"","-","Pikunda-Munda","","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2887",2020,180,"-28.3","","Charcoal","COG","Munda","MUN 87/2-1-1","Pit; Furnace","0.69",1.163,17.357,"","-","Pikunda-Munda","object; slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2888",1990,65,"-25.8","","Charcoal","COG","Munda","MUN 87/2-1-3","Pit","0.6",1.163,17.357,"","-","Pikunda-Munda","-","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2889",1650,80,"-28","","Charcoal","COG","Munda","MUN 87/3","-","0.05",1.163,17.357,"","-","Pikunda-Munda","slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2890",1680,90,"-27.9","","Charcoal","COG","Munda","MUN 87/3","-","",1.163,17.357,"","-","Pikunda-Munda","slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2891",600,75,"","","Charcoal","COG","Pikunda","PIK 87/1","Pit","0.18",0.55,16.636,"","-","Mandombe","object; slag","","-","Ia","","Seidensticker 2017"
"KI-2894",2270,160,"-29.3","","Charcoal","COG","Mobaka","MKA 87/102","-","",-0.367,17.135,"","-","Imbonga","-","","-","Ia","","Eggert 1992: 20 Tab. 4; Eggert 1993; Seidensticker 2017"
"KI-2895",2230,100,"-27.8","","Charcoal","COG","Mitula","MIT 87/103","-","",0.292,17.047,"","-","Imbonga","-","","-","Ia","","Eggert 1992: 20 Tab. 4; Eggert 1993; Seidensticker 2017"
