"LABNR","C14AGE","C14STD","C13","METHOD","MATERIAL","COUNTRY","SITE","FEATURE","FEATURE_DESC","DEPTH","LAT","LONG","PHASE","LITHICS","POTTERY","IRON","FRUIT","ZOO","CLASS","REMARK","SOURCE"
"KN-4203",230,110,"","","Charcoal","COD","Bolondo","BLD 83/2","-","",-0.306,21.253,"","-","Bolondo","-","-","","Ia","","Wotzka 1995: 180-181; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1"
"KN-4204",1870,70,"","","Charcoal","COD","Bokele","BKE 81/2","-","",-0.099,18.592,"","-","Bokele","-","-","","Ia","","Wotzka 1995: 115; Seidensticker 2017: Tab. 21"
"KN-4206",1590,60,"","","Charcoal","COD","Isaka-Elinga","ISK 83/104","-","",-0.667,20.202,"","-","Lingonda","-","-","","Ia","","Wotzka 1995: 115; Seidensticker 2017: Tab. 21"
"OxTL-154a-4",1570,220,"","TL","Pottery","CAF","Batalimo","ZI","Layer","-",3.676,18.455,"","-","Batalimo-Maluba","-","-","","Ia","","de Bayle des Hermens 1975: 233; Eggert 1987; Kote 1992: 117"
"Poz-39115",1685,30,"","","charcoal_wood","COD","Yantshambi II","MBI/10/IIA","Pit","0.55",0.725,24.218,"","-","(Early Pottery Phase); Middle Pottery Phase","slag","Eg","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-39116",1990,30,"","","charcoal_wood","COD","Ilambi Moke","MOK/10/IIB","Pit","0.55",0.649,24.23,"","-","Early Pottery Phase; (Middle Pottery Phase)","slag","Eg","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-39117",2085,35,"","","Charcoal_endocarp_elaeis","COD","Ilambi Moke","MOK/10/IIB","Pit","0.7",0.649,24.23,"","-","Early Pottery Phase","slag","Eg","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-39121",1880,30,"","","charcoal_wood","COD","Bomane Yangwa","YNG/10/I","Pit","0.55",1.303,23.817,"","-","Middle Pottery Phase","-","Eg","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-39122",2110,35,"","","Charcoal_endocarp_elaeis","COD","Bomane Yangwa","YNG/10/IIB","Pit","0.6",1.303,23.817,"","-","Early Pottery Phase","-","Eg","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-48988",2160,30,"-","AMS","Charcoal","COD","Mbandaka","MBA 11/1/1","Pit","0.5",0.06,18.256,"EIA","-","Bokele","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-48989",1785,30,"-","AMS","Charcoal","COD","Mbandaka","MBA 11/1/1","Pit","0.5",0.06,18.256,"EIA","-","Bokele","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-48991",1810,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Mbandaka","MBA 11/1/1-37","Pit","0.5",0.06,18.256,"EIA","-","Bokele","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-48993",1745,35,"-","AMS","Charcoal_endocarp_elaeis","COD","Mbandaka","MBA 11/1/1-31","Pit","0.21",0.06,18.256,"EIA","-","Bokele","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-48995",1835,35,"-","AMS","Charcoal_endocarp_elaeis","COD","Mbandaka","MBA 11/1/1-35","Pit","0.36",0.06,18.256,"EIA","-","Bokele","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-55342",2175,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 12/1/1-37","Pit","0.995",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-55343",2185,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 12/1/1-37","Pit","0.995",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-55344",2105,30,"-","AMS","Charcoal_endocarp_canarium","COD","Iyonda","IYO 12/1/1-37","Pit","0.995",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-55345",2135,30,"-","AMS","Charcoal_endocarp_canarium","COD","Iyonda","IYO 12/1/1-37","Pit","0.995",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-57246",2085,30,"","","-","COD","Baombi II","BAO/13/I","-","",0.657,25.161,"","-","Early Pottery Phase","-","-","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-57248",2155,30,"","","-","COD","Baombi II","BAO/13/I","-","",0.657,25.161,"","-","Early Pottery Phase","-","-","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-72477",660,30,"-","AMS","Cenchrus americanus","COD","Mbandaka","MBA 11/1/2-42","Pit","0.315",0.06,18.256,"LIA","-","Bondongo; Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-72477",630,30,"-","AMS","Cenchrus americanus","COD","Mbandaka","MBA 11/1/2-42","Pit","0.315",0.06,18.256,"LIA","-","Bondongo; Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-72477",660,30,"-","AMS","Cenchrus americanus","COD","Mbandaka","MBA 11/1/2-42","Pit","0.315",0.06,18.256,"LIA","-","Bondongo; Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-72477",630,30,"-","AMS","Cenchrus americanus","COD","Mbandaka","MBA 11/1/2-42","Pit","0.315",0.06,18.256,"LIA","-","Bondongo; Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74815",2040,60,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 12/1/1-25","Pit","0.635",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74816",2180,50,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 12/1/1-27","Pit","0.755",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74880",115,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/1/3-9","Pit","0.33",-0.035,18.186,"LIA","-","Botendo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74881",2155,30,"-","AMS","Charcoal_endocarp_canarium","COD","Iyonda","IYO 15/1/4-35","Pit","0.465",-0.035,18.186,"EIA","-","Imbonga; (Bokuma)","-","-","-","Ic","","Neumann et al. 2022 Tab. 1"
"Poz-74883",1445,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/1/4-35","Pit","0.465",-0.035,18.186,"EIA","-","(Imbonga); Bokuma","-","-","-","Ic","","Neumann et al. 2022 Tab. 1"
"Poz-74884",2275,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/1/6-59","Pit","0.62",-0.035,18.186,"EIA","-","Imbonga; (Bokuma)","-","-","-","Ic","","Neumann et al. 2022 Tab. 1"
"Poz-74885",2290,30,"-","AMS","Charcoal_seed_vigna","COD","Iyonda","IYO 15/1/7-18","Pit","0.7",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74886",2195,30,"-","AMS","Charcoal_seed_vigna","COD","Iyonda","IYO 15/1/7-26","Pit","0.685",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74887",2230,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/1/8-25","Pit","1.195",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74888",2170,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/1/8-25","Pit","1.195",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74889",2140,30,"-","AMS","Charcoal_endocarp_canarium","COD","Iyonda","IYO 15/1/9-38","Pit","0.89",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74890",2120,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/1/9-38","Pit","0.89",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74893",1475,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/1/13-25","Pit","0.975",-0.035,18.186,"EIA","-","Bokuma","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74894",1395,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/1/13-25","Pit","0.975",-0.035,18.186,"EIA","-","Bokuma","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74895",2080,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/1/14-5","Pit","0.69",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74896",2100,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/1/14-5","Pit","0.69",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74897",2220,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/1/15-9","Pit","1.0",-0.035,18.186,"EIA","-","Imbonga; (indet)","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74898",2235,30,"-","AMS","Charcoal_uapaca","COD","Iyonda","IYO 15/1/15-9","Pit","1.0",-0.035,18.186,"EIA","-","Imbonga; (indet)","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74899",2200,30,"-","AMS","Charcoal_endocarp","COD","Iyonda","IYO 15/2/4-125","Pit","1.18",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74918",2180,30,"-","AMS","Charcoal_endocarp","COD","Iyonda","IYO 15/2/4-184","Pit","2.035",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74919",2185,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/2/4-269","Pit","2.83",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74979",2210,30,"-","AMS","Charcoal_endocarp","COD","Iyonda","IYO 15/2/4-245","Pit","2.565",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-74979",2210,30,"-","AMS","Charcoal_endocarp","COD","Iyonda","IYO 15/2/4-245","Pit","2.565",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-75451",370,30,"","","charcoal_wood","COD","Yangambi","YAN-05","Pedoanthracological trench","0.45",0.768,24.44,"","-","Ilambi","-","Eg","","Ia","","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-75452",1670,30,"","","charcoal_wood","COD","Yangambi","YAN-05","Pedoanthracological trench","0.65",0.768,24.44,"","-","Middle Pottery Phase","-","Eg","","Ia","double date within spit","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-75453",1560,30,"-","AMS","charcoal_wood","COD","Yangambi","YAN-05","Pedoanthracological trench","1,25",0.76755,24.43973,"EIA","-","Middle Pottery Phase","-","Eg",NA,"Ia","","unpublished (Wannes Hubau)"
"Poz-75462",1230,30,"","","charcoal_wood","COD","Yangambi","YAS-02","Pedoanthracological trench","0.55",0.768,24.44,"(MIA)","-","Ilambi","-","Eg","","Ia","double date within spit","Livingstone-Smith et al. 2017: 98 Tab. 1, 111 Fig. 23"
"Poz-79289",150,30,"-","AMS","Charcoal","COD","Iyonda","IYO 15/19/6-46","Pit","0.425",-0.035,18.186,"LIA","-","Ikenge","-","-","-","Id","","Neumann et al. 2022 Tab. 1"
"Poz-79295",490,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/63/3-32","Pit","0.5",-0.035,18.186,"LIA","-","Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-79296",495,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/63/3-64","Pit","0.375",-0.035,18.186,"LIA","-","Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-79297",545,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/63/4-47","Pit","0.435",-0.035,18.186,"LIA","-","Bondongo; Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-79297",545,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/63/4-47","Pit","0.435",-0.035,18.186,"LIA","-","Bondongo; Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-79299",535,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/64/2-3","Pit","0.25",-0.035,18.186,"LIA","-","Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-79300",500,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/64/2-7","Pit","0.225",-0.035,18.186,"LIA","-","Nkile","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-79301",115,30,"-","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/65-3","Pit","0.195",-0.035,18.186,"LIA","-","Botendo","-","-","-","Ia","Pit?","Neumann et al. 2022 Tab. 1"
"Poz-79304",2325,35,"-","AMS","Charcoal_seed_Pennisetum","COD","Iyonda","IYO 15/1/6-73","Pit","0.995",-0.035,18.186,"EIA","-","Imbonga; (Bokuma)","-","-","-","Ia","Pit?","Neumann et al. 2022 Tab. 1"
"Poz-79307",2100,30,"-","AMS","indet","COD","Iyonda","MBA 11/1-46","Pit","0.635",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-98058",334,30,"-","AMS","Charcoal_seed_Pennisetum","COD","Bolondo","BLD 16/5-61","Layer","0.885",-0.306,21.253,"LIA","-","Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-98264",460,30,"-","AMS","Bone_animal","COD","Bolondo","BLD 16/5-35","Layer","1.165",-0.306,21.253,"LIA","-","Bolondo; Wema","-","-","Capra hircus","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-98264",460,30,"-","AMS","Bone_animal","COD","Bolondo","BLD 16/5-35","Layer","1.165",-0.306,21.253,"LIA","-","Bolondo; Wema","-","-","Capra hircus","Ia","","Neumann et al. 2022 Tab. 1"
"Poz-98311",365,30,"-","AMS","Charcoal_seed_Pennisetum","COD","Bolondo","BLD 16/5-59","Layer","0.805",-0.306,21.253,"LIA","-","Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"RICH-30864",1850,24,"-26,6","AMS","Foodcrust","COG","Pikunda","PIK 87/1","","",0.55,16.636,"","","Pikunda-Munda","","",NA,"","","unpublished (Seidensticker)"
"RICH-30865",192,22,"-26,2","AMS","Foodcrust","COG","Munda","","","",1.163,17.357,"","","Ebambe","","",NA,"","","unpublished (Seidensticker)"
"RICH-30866",328,22,"-26,1","AMS","Foodcrust","COG","Munda","","","",1.163,17.357,"","","Ebambe","","",NA,"","","unpublished (Seidensticker)"
"RICH-30867",841,24,"-25,7","AMS","Foodcrust","COG","Ngombe","","","",0.37,16.99,"","","Ngombe","","",NA,"","","unpublished (Seidensticker)"
